slice fieldpos lbda x y rmsx_um rmsy_um
7.000000 -0.500000 0.400000 9.979010 17.323507 1.555327 1.195550
7.000000 -0.500000 0.500000 9.911410 15.353251 0.596153 1.332193
7.000000 -0.500000 0.700000 9.854762 13.616259 1.117267 1.771450
7.000000 -0.500000 1.000000 9.817828 12.434110 1.949270 2.155154
7.000000 -0.500000 1.200000 9.800557 11.866135 2.383246 2.351602
7.000000 -0.500000 1.400000 9.784388 11.324903 2.811047 2.543115
7.000000 -0.500000 1.600000 9.767989 10.765904 3.265426 2.743769
7.000000 -0.500000 1.700200 9.759500 10.472408 3.508615 2.849860
7.000000 0.000000 0.350000 9.770972 19.071648 2.689587 1.355287
7.000000 0.000000 0.400000 9.709521 17.315096 1.789302 0.972450
7.000000 0.000000 0.500000 9.643795 15.345486 0.686519 0.973249
7.000000 0.000000 0.700000 9.588719 13.609042 0.842567 1.396446
7.000000 0.000000 1.000000 9.552811 12.427256 1.668342 1.782573
7.000000 0.000000 1.200000 9.536021 11.859452 2.103582 1.979560
7.000000 0.000000 1.400000 9.520302 11.318381 2.532726 2.170810
7.000000 0.000000 1.600000 9.504359 10.759546 2.988378 2.370340
7.000000 0.000000 1.700200 9.496107 10.466136 3.232165 2.475504
7.000000 0.500000 0.350000 9.499683 19.062928 2.911942 1.384216
7.000000 0.500000 0.400000 9.439975 17.306951 1.998115 0.872163
7.000000 0.500000 0.500000 9.376116 15.337964 0.826205 0.644700
7.000000 0.500000 0.700000 9.322605 13.602052 0.596239 1.029559
7.000000 0.500000 1.000000 9.287717 12.420617 1.420175 1.418567
7.000000 0.500000 1.200000 9.271404 11.852978 1.858279 1.616138
7.000000 0.500000 1.400000 9.256133 11.312062 2.289708 1.806960
7.000000 0.500000 1.600000 9.240643 10.753387 2.747258 2.005039
7.000000 0.500000 1.700200 9.232626 10.460059 2.991881 2.109056
7.000000 1.000000 0.350000 9.228341 19.054492 3.101991 1.510362
7.000000 1.000000 0.400000 9.170371 17.299071 2.178672 0.925575
7.000000 1.000000 0.500000 9.108370 15.330687 0.972516 0.404157
7.000000 1.000000 0.700000 9.056416 13.595289 0.377400 0.672266
7.000000 1.000000 1.000000 9.022544 12.414193 1.207507 1.064715
7.000000 1.000000 1.200000 9.006705 11.846714 1.649925 1.262788
7.000000 1.000000 1.400000 8.991879 11.305949 2.084284 1.452791
7.000000 1.000000 1.600000 8.976840 10.747427 2.544056 1.648823
7.000000 1.000000 1.700200 8.969056 10.454178 2.789609 1.751335
8.000000 -1.000000 0.350000 9.083247 19.049196 2.131321 1.598850
8.000000 -1.000000 0.400000 9.026158 17.294028 1.264983 1.458183
8.000000 -1.000000 0.500000 8.965091 15.325912 0.579139 1.608846
8.000000 -1.000000 0.700000 8.913915 13.590744 1.428862 1.985673
8.000000 -1.000000 1.000000 8.880548 12.409805 2.277742 2.318853
8.000000 -1.000000 1.200000 8.864944 11.842402 2.713384 2.491455
8.000000 -1.000000 1.400000 8.850337 11.301709 3.141387 2.660776
8.000000 -1.000000 1.600000 8.835520 10.743263 3.595102 2.839086
8.000000 -1.000000 1.700200 8.827851 10.450055 3.837685 2.933673
8.000000 -0.500000 0.350000 8.812858 19.041042 2.385767 1.422730
8.000000 -0.500000 0.400000 8.757507 17.286412 1.488906 1.172531
8.000000 -0.500000 0.500000 8.698302 15.318882 0.517002 1.240674
8.000000 -0.500000 0.700000 8.648688 13.584212 1.140857 1.605164
8.000000 -0.500000 1.000000 8.616341 12.403602 1.989337 1.939698
8.000000 -0.500000 1.200000 8.601214 11.836354 2.426342 2.112744
8.000000 -0.500000 1.400000 8.587054 11.295808 2.855630 2.281929
8.000000 -0.500000 1.600000 8.572691 10.737511 3.310540 2.459403
8.000000 -0.500000 1.700200 8.565257 10.444381 3.553684 2.553257
