wavelength,narrow,wide
13150,0.511567755,0.494112318
13160,0.511275666,0.493741975
13170,0.513334531,0.495880178
13180,0.510236284,0.492678782
13190,0.511424842,0.493688309
13200,0.511716622,0.494251931
13210,0.511790052,0.494224607
13220,0.511572946,0.493741915
13230,0.511746451,0.494076279
13240,0.513855658,0.496295611
13250,0.513427888,0.495671083
13260,0.514654938,0.496818428
13270,0.515567539,0.498034666
13280,0.515462556,0.497760459
13290,0.515620111,0.497948
13300,0.513643467,0.495764761
13310,0.513912135,0.495945267
13320,0.513258308,0.495368543
13330,0.515114816,0.497183894
13340,0.514179846,0.496351203
13350,0.514291214,0.496368559
13360,0.511502084,0.493388591
13370,0.515782375,0.497764097
13380,0.513293187,0.495185173
13390,0.513858723,0.495823175
13400,0.514602426,0.496431959
13410,0.514741579,0.49658713
13420,0.514944536,0.496793722
13430,0.513599569,0.495334656
13440,0.51621978,0.497735025
13450,0.515491415,0.497028854
13460,0.514398762,0.495854218
13470,0.517721019,0.499204693
13480,0.515675417,0.497212645
13490,0.516262499,0.497845889
13500,0.515401284,0.496779632
13510,0.516065468,0.497378223
13520,0.515410633,0.496674472
13530,0.51671495,0.49813845
13540,0.514971079,0.496391129
13550,0.513868494,0.495104749
13560,0.51486004,0.49615009
13570,0.514090838,0.495375665
13580,0.514564328,0.495787762
13590,0.515200977,0.4964876
13600,0.516602798,0.497805561
13610,0.516383127,0.497744768
13620,0.517189818,0.498277556
13630,0.517433722,0.498692471
13640,0.518548962,0.499713571
13650,0.52066837,0.501892567
13660,0.520116863,0.501014417
13670,0.519639156,0.500494943
13680,0.521996135,0.502834885
13690,0.52154701,0.502354437
13700,0.523106029,0.503933661
13710,0.521718815,0.502638645
13720,0.519260039,0.499938903
13730,0.516625368,0.497179781
13740,0.517929473,0.49863639
13750,0.517517651,0.498240569
13760,0.516468424,0.49723762
13770,0.516414918,0.497135984
13780,0.515363365,0.496281899
13790,0.516691835,0.497701601
13800,0.512267783,0.493532219
13810,0.514011756,0.495286748
13820,0.511121647,0.49220927
13830,0.509821319,0.490939065
13840,0.510387509,0.491554827
13850,0.507810999,0.48898891
13860,0.506267852,0.487721574
13870,0.508184646,0.489319655
13880,0.507184424,0.488343086
13890,0.505658741,0.486777738
13900,0.508837159,0.489912325
13910,0.509075191,0.490039168
13920,0.50836398,0.489481626
13930,0.508755243,0.48978149
13940,0.507610546,0.488681595
13950,0.506927019,0.488134033
13960,0.507172887,0.488183526
13970,0.507973788,0.489076619
13980,0.507472842,0.488558926
13990,0.507204798,0.488251743
14000,0.505065331,0.486036171
14010,0.505775378,0.486791014
14020,0.505063767,0.48604294
14030,0.504576831,0.485617952
14040,0.503637808,0.484615113
14050,0.504532881,0.485442804
14060,0.503066744,0.483999959
14070,0.504184548,0.485129431
14080,0.504145504,0.485054873
14090,0.501957464,0.482816424
14100,0.498554031,0.479537983
14110,0.501896315,0.482761713
14120,0.500070938,0.481170722
14130,0.499960202,0.481177259
14140,0.500659112,0.481942147
14150,0.499775673,0.480868164
14160,0.498133195,0.479286749
14170,0.497334645,0.478482234
14180,0.497930011,0.479054015
14190,0.497676522,0.478687334
14200,0.496254194,0.477245653
14210,0.498598667,0.47950399
14220,0.498417204,0.479390263
14230,0.498065712,0.479197949
14240,0.500011207,0.48100893
14250,0.50075924,0.481727337
14260,0.498980935,0.479990495
14270,0.499091772,0.480050103
14280,0.498212802,0.479117111
14290,0.498491962,0.479371826
14300,0.499530051,0.480457629
14310,0.497053617,0.477983687
14320,0.496624323,0.47769533
14330,0.495510742,0.476555596
14340,0.498209562,0.479176134
14350,0.49605307,0.477139254
14360,0.495467227,0.476656028
14370,0.49966808,0.480772483
14380,0.499594923,0.480478692
14390,0.497564967,0.478527316
14400,0.498553832,0.479547814
